##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.245855171290975	concat
SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.241569699652976	concat
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	868135	no rank	ESCHERICHIA COLI DEC1C	0.285470814079714	metk_noOuts
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	562	species	ESCHERICHIA COLI	0.139364023851361	metk_noOuts
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	561	genus	ESCHERICHIA	0.139364023851361	metk_noOuts
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	1163738	no rank	ESCHERICHIA COLI O26:H11 STR. CVM9952	0.0721175528589279	metk_noOuts
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	244319	no rank	ESCHERICHIA COLI O26:H11	0.0721175528589279	metk_noOuts
SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	Unknown	Unknown	Unclassifiable	0.291566032499708	metk_noOuts
SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	1063	species	RHODOBACTER SPHAEROIDES	0.443369246535443	concat
SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.139508441391139	concat
SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.139143762652139	concat
SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.139081926219139	concat
SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.138896623202139	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	1280	species	STAPHYLOCOCCUS AUREUS	0.184346208798816	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.137444379429863	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.136099121293864	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.135882029686864	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.135683316253864	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.135438156141865	concat
SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.135106788394865	concat
SRR172903.179675 USI-EAS376:2:2:1745:442 length=75	2.73	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.572025367152572	concat
SRR172903.179675 USI-EAS376:2:2:1745:442 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.285395527035285	concat
SRR172903.179675 USI-EAS376:2:2:1745:442 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142579105812143	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.475720935672938	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.256279435709467	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.256279435709467	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.0045778426919894	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.00246351943200968	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.00237897494155969	concat
SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1280	species	STAPHYLOCOCCUS AUREUS	0.0022998558425697	concat
SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.370369889993937	concat
SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.157470546661016	concat
SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.157427360944016	concat
SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.157412962882016	concat
SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.157319239519016	concat
SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.571621858240428	concat
SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.143013817744857	concat
SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142692986381857	concat
SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142671337632857	concat
SRR172903.641412 USI-EAS376:2:8:405:4 length=75	1.72	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.571460550110428	concat
SRR172903.641412 USI-EAS376:2:8:405:4 length=75	1.72	1280	species	STAPHYLOCOCCUS AUREUS	0.285697303763714	concat
SRR172903.641412 USI-EAS376:2:8:405:4 length=75	1.72	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142842146125857	concat
SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	1063	species	RHODOBACTER SPHAEROIDES	0.394408307456576	concat
SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.151425905928106	concat
SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.151397027324106	concat
SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.151391966929106	concat
SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.151376792362106	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1280	species	STAPHYLOCOCCUS AUREUS	0.245985635228	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.126746216143	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.125649784249	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.125473958854	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.125312998447	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.125152233628	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0628395867255	concat
SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0628395867255	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.257243827772743	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	1074189	no rank	STREPTOCOCCUS SOBRINUS TCI 336	0.252922997218747	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.123647118456876	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.123159076547877	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.121561575076878	concat
SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.121465404926879	concat
SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.70	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.431189169612	concat
SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.70	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142574472737	concat
SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.70	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.142231793491	concat
SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.70	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142148315853	concat
SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.70	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.141856248307	concat
SRR172903.552246 USI-EAS376:2:7:314:1916 length=75	1.75	77133	species	UNCULTURED BACTERIUM	0.906398276485	16s_reps_bac
SRR172903.552246 USI-EAS376:2:7:314:1916 length=75	1.75	Unknown	Unknown	Unclassifiable	0.093601723515	16s_reps_bac
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	511691	no rank	STREPTOCOCCUS MUTANS NN2025	0.143293181477	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1074095	no rank	STREPTOCOCCUS MUTANS TCI 11	0.143222598446	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857127	no rank	STREPTOCOCCUS MUTANS NLML9	0.143152039762	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857133	no rank	STREPTOCOCCUS MUTANS M21	0.142823227926	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1257037	no rank	STREPTOCOCCUS MUTANS 5DC8	0.142659093852	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1074092	no rank	STREPTOCOCCUS MUTANS TCI 399	0.142471725228	concat
SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857140	no rank	STREPTOCOCCUS MUTANS NVAB	0.142378133309	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	868140	no rank	ESCHERICHIA COLI DEC2C	0.143928187542856	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	550677	no rank	ESCHERICHIA COLI B354	0.143581191927856	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	656437	no rank	ESCHERICHIA COLI TA143	0.142441799207858	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1181739	no rank	ESCHERICHIA COLI KTE193	0.142304148801858	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1090926	no rank	ESCHERICHIA COLI W26	0.141755514179858	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1101440	no rank	ESCHERICHIA COLI O103:H25 STR. NIPH 11060424	0.0718252578464282	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	991913	no rank	ESCHERICHIA COLI O103:H25	0.0718252578464282	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	37762	no rank	ESCHERICHIA COLI B	0.0711693213234288	concat
SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	413997	no rank	ESCHERICHIA COLI B STR. REL606	0.0711693213234288	concat
SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.310204231721062	concat
SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.308649603721062	concat
SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.227603123478046	concat
SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.153543041079831	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.375356828498	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.125248014143	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.125158675618	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.124864200887	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.124846388025	concat
SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.124525892829	concat
SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1309	species	STREPTOCOCCUS MUTANS	0.44108692994	concat
SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074155	no rank	STREPTOCOCCUS MUTANS TCI 204	0.152585502543	concat
SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074126	no rank	STREPTOCOCCUS MUTANS TCI 149	0.136121378692	concat
SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074143	no rank	STREPTOCOCCUS MUTANS TCI 176	0.13612091525	concat
SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074095	no rank	STREPTOCOCCUS MUTANS TCI 11	0.134085273575	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.285638448431714	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.142908631955857	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142898511826857	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142865023520857	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142862993455857	concat
SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142826390808857	concat
SRR172903.802153 USI-EAS376:2:10:209:1219 length=75	1.75	483214	no rank	METHANOBREVIBACTER SMITHII DSM 2375	1	concat
SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.70	517722	species	CITROMICROBIUM SP. JLT1363	0.247026220541877	hsp70
