	##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
28	SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.1380938461	concat
29	SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.137489592305	concat
30	SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.423597295128	concat
31	SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.145253482641	concat
32	SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.144909213306	concat
33	SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.14375251260299998	concat
34	SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142487496322	concat
35	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.436328579588826	concat
36	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.23766391532390502	concat
37	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.09997085784286	concat
38	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.0929895548064628	concat
39	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0665235462189734	concat
40	SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0665235462189734	concat
42	SRR172903.258287 USI-EAS376:2:3:1509:1406 length=75	2.61	1280	species	STAPHYLOCOCCUS AUREUS	0.285626625629	concat
43	SRR172903.258287 USI-EAS376:2:3:1509:1406 length=75	2.61	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142781005033	concat
44	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	1280	species	STAPHYLOCOCCUS AUREUS	0.283658897964284	concat
45	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.145826519989146	concat
46	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.14266048584614302	concat
47	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	0.14263601558114303	concat
49	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.072030616499572	concat
50	SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.072030616499572	concat
51	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	1297	phylum	DEINOCOCCUS THERMUS	0.365278838613573	concat
52	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188787	class	DEINOCOCCI	0.365278838613573	concat
53	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	1454725	genus	CANDIDATUS CALDATRIBACTEIRUM	0.117062363307023	concat
54	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.0380950886624076	concat
55	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	904143	no rank	STAPHYLOCOCCUS WARNERI A487	0.0380857515397076	concat
56	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	93062	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS COL	0.0380443736850076	concat
57	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188709	family	THERMOTOGACEAE	0.009538686394676909	concat
58	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	200918	phylum	THERMOTOGAE	0.009538686394676909	concat
59	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188708	class	THERMOTOGAE	0.009538686394676909	concat
60	SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	2419	order	THERMOTOGALES	0.009538686394676909	concat
61	SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	1280	species	STAPHYLOCOCCUS AUREUS	0.42595341558600003	concat
62	SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.146614036655	concat
63	SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.144898789859	concat
64	SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.14163437358300002	concat
66	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074171	no rank	STREPTOCOCCUS MUTANS TCI 244	0.14787331514985197	concat
67	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	857145	no rank	STREPTOCOCCUS MUTANS 15VF2	0.144128679788856	concat
68	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1309	species	STREPTOCOCCUS MUTANS	0.14331980342085698	concat
69	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074178	no rank	STREPTOCOCCUS MUTANS TCI 267	0.14133925643785902	concat
70	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074186	no rank	STREPTOCOCCUS MUTANS TCI 298	0.141162871744859	concat
71	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074126	no rank	STREPTOCOCCUS MUTANS TCI 149	0.14112958826985902	concat
72	SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	857143	no rank	STREPTOCOCCUS MUTANS 11VS1	0.141046485187859	concat
73	SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.26654909504207297	concat
74	SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.246026034013975	concat
75	SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.24585517129097498	concat
76	SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.24156969965297603	concat
77	SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	868135	no rank	ESCHERICHIA COLI DEC1C	0.28547081407971403	metk_noOuts
78	SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	562	species	ESCHERICHIA COLI	0.13936402385136099	metk_noOuts
79	SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	561	genus	ESCHERICHIA	0.13936402385136099	metk_noOuts
80	SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	1163738	no rank	ESCHERICHIA COLI O26:H11 STR. CVM9952	0.0721175528589279	metk_noOuts
81	SRR172903.777882 USI-EAS376:2:9:1479:439 length=75	2.73	244319	no rank	ESCHERICHIA COLI O26:H11	0.0721175528589279	metk_noOuts
83	SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	1063	species	RHODOBACTER SPHAEROIDES	0.443369246535443	concat
84	SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.13950844139113902	concat
85	SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.139143762652139	concat
86	SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.139081926219139	concat
87	SRR172903.744943 USI-EAS376:2:9:789:1575 length=75	4.72	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.138896623202139	concat
88	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	1280	species	STAPHYLOCOCCUS AUREUS	0.18434620879881602	concat
89	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.137444379429863	concat
90	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.13609912129386398	concat
91	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.135882029686864	concat
92	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.135683316253864	concat
93	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.13543815614186502	concat
94	SRR172903.506350 USI-EAS376:2:6:1159:1419 length=75	10.75	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.135106788394865	concat
96	SRR172903.179675 USI-EAS376:2:2:1745:442 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.285395527035285	concat
97	SRR172903.179675 USI-EAS376:2:2:1745:442 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142579105812143	concat
98	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.475720935672938	concat
99	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.256279435709467	concat
100	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.256279435709467	concat
102	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.00246351943200968	concat
103	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.00237897494155969	concat
104	SRR172903.494505 USI-EAS376:2:6:912:1356 length=75	10.75	1280	species	STAPHYLOCOCCUS AUREUS	0.0022998558425697	concat
105	SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.370369889993937	concat
106	SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.15747054666101598	concat
107	SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.157427360944016	concat
108	SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.15741296288201598	concat
109	SRR172903.632237 USI-EAS376:2:8:221:1801 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.157319239519016	concat
110	SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.571621858240428	concat
111	SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.143013817744857	concat
112	SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.14269298638185698	concat
113	SRR172903.301477 USI-EAS376:2:4:596:825 length=75	1.69	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142671337632857	concat
115	SRR172903.641412 USI-EAS376:2:8:405:4 length=75	1.72	1280	species	STAPHYLOCOCCUS AUREUS	0.285697303763714	concat
116	SRR172903.641412 USI-EAS376:2:8:405:4 length=75	1.72	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142842146125857	concat
117	SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	1063	species	RHODOBACTER SPHAEROIDES	0.394408307456576	concat
118	SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.15142590592810598	concat
119	SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.15139702732410598	concat
120	SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.15139196692910598	concat
121	SRR172903.863881 USI-EAS376:2:10:1537:617 length=75	2.64	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.151376792362106	concat
122	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1280	species	STAPHYLOCOCCUS AUREUS	0.245985635228	concat
123	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.126746216143	concat
124	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.125649784249	concat
125	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.12547395885399998	concat
126	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.125312998447	concat
127	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.12515223362800001	concat
128	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0628395867255	concat
129	SRR172903.912768 USI-EAS376:2:11:818:1136 length=75	4.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0628395867255	concat
130	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.257243827772743	concat
131	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	1074189	no rank	STREPTOCOCCUS SOBRINUS TCI 336	0.252922997218747	concat
132	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.123647118456876	concat
133	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.123159076547877	concat
134	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.12156157507687801	concat
135	SRR172903.175820 USI-EAS376:2:2:1667:687 length=75	2.73	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.12146540492687899	concat
136	SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.7	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.431189169612	concat
137	SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.7	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142574472737	concat
138	SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.7	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.14223179349099999	concat
139	SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.7	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142148315853	concat
140	SRR172903.112679 USI-EAS376:2:2:439:888 length=75	2.7	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.141856248307	concat
141	SRR172903.552246 USI-EAS376:2:7:314:1916 length=75	1.75	77133	species	UNCULTURED BACTERIUM	0.9063982764849999	16s_reps_bac
143	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	511691	no rank	STREPTOCOCCUS MUTANS NN2025	0.14329318147700001	concat
144	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1074095	no rank	STREPTOCOCCUS MUTANS TCI 11	0.143222598446	concat
145	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857127	no rank	STREPTOCOCCUS MUTANS NLML9	0.143152039762	concat
146	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857133	no rank	STREPTOCOCCUS MUTANS M21	0.142823227926	concat
147	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1257037	no rank	STREPTOCOCCUS MUTANS 5DC8	0.14265909385199999	concat
148	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	1074092	no rank	STREPTOCOCCUS MUTANS TCI 399	0.142471725228	concat
149	SRR172903.939169 USI-EAS376:2:11:1441:251 length=75	4.72	857140	no rank	STREPTOCOCCUS MUTANS NVAB	0.142378133309	concat
150	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	868140	no rank	ESCHERICHIA COLI DEC2C	0.143928187542856	concat
151	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	550677	no rank	ESCHERICHIA COLI B354	0.14358119192785598	concat
152	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	656437	no rank	ESCHERICHIA COLI TA143	0.142441799207858	concat
153	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1181739	no rank	ESCHERICHIA COLI KTE193	0.142304148801858	concat
154	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1090926	no rank	ESCHERICHIA COLI W26	0.14175551417985802	concat
155	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	1101440	no rank	ESCHERICHIA COLI O103:H25 STR. NIPH 11060424	0.0718252578464282	concat
156	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	991913	no rank	ESCHERICHIA COLI O103:H25	0.0718252578464282	concat
157	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	37762	no rank	ESCHERICHIA COLI B	0.0711693213234288	concat
158	SRR172903.269048 USI-EAS376:2:3:1727:682 length=75	1.72	413997	no rank	ESCHERICHIA COLI B STR. REL606	0.0711693213234288	concat
159	SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.31020423172106204	concat
160	SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.30864960372106204	concat
161	SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.227603123478046	concat
162	SRR172903.182715 USI-EAS376:2:3:18:565 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.153543041079831	concat
163	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.375356828498	concat
164	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.125248014143	concat
165	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.12515867561799998	concat
166	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.124864200887	concat
167	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.124846388025	concat
168	SRR172903.170097 USI-EAS376:2:2:1553:696 length=75	3.74	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.124525892829	concat
169	SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1309	species	STREPTOCOCCUS MUTANS	0.4410869299399999	concat
170	SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074155	no rank	STREPTOCOCCUS MUTANS TCI 204	0.152585502543	concat
171	SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074126	no rank	STREPTOCOCCUS MUTANS TCI 149	0.136121378692	concat
172	SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074143	no rank	STREPTOCOCCUS MUTANS TCI 176	0.13612091525	concat
173	SRR172903.199156 USI-EAS376:2:3:356:1520 length=75	2.73	1074095	no rank	STREPTOCOCCUS MUTANS TCI 11	0.134085273575	concat
174	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.285638448431714	concat
175	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.14290863195585699	concat
176	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142898511826857	concat
177	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142865023520857	concat
178	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142862993455857	concat
179	SRR172903.641512 USI-EAS376:2:8:408:854 length=75	3.74	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.14282639080885698	concat
180	SRR172903.802153 USI-EAS376:2:10:209:1219 length=75	1.75	483214	no rank	METHANOBREVIBACTER SMITHII DSM 2375	1.0	concat
181	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	517722	species	CITROMICROBIUM SP. JLT1363	0.247026220541877	hsp70
182	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	266779	species	CHELATIVORANS SP. BNC1	0.229717313384385	hsp70
183	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	449972	genus	CHELATIVORANS	0.229717313384385	hsp70
184	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	204457	order	SPHINGOMONADALES	0.0925415514819537	hsp70
185	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	72173	genus	CITROMICROBIUM	0.0615546962757692	hsp70
186	SRR172903.986174 USI-EAS376:2:12:686:1965 length=75	5.7	1187851	species	RHODOVULUM SP. PH10	0.036035548352482	hsp70
